7zip 24.09-3
thunar 4.20.1-1
thunar-archive-plugin 0.5.3-1
thunar-media-tags-plugin 0.5.0-1
thunar-volman 4.20.0-2
timeshift 24.06.6-1
tipp10 3.3.2-1
tlrc 1.9.3-1
tmux 3.5_a-1
tpm2-tools 5.7-1
tpm2-tss 4.1.3-1
traceroute 2.1.6-1
trash-cli 0.24.5.26-2
tree 2.2.1-1
ttf-amiri 1.001-1
ttf-cairo 3.116-3
ttf-ms-win10-auto 10.0.19042.789-6
ttyper 1.6.0-1
tumbler 4.20.0-2
tuned 2.24.1-2
udftools 2.3-2
udisks2 2.10.1-5
ueberzug 18.3.1-4
ufw 0.36.2-5
unarchiver 1.10.8-3
uno-calculator-bin 1.2.9_uno.339-2
unrar 1:7.1.3-1
unzip 6.0-22
usb_modeswitch 2.6.1-4
usbmuxd 1.1.1-4
usbutils 018-1
viewnior 1.8-6
vim 9.1.1043-1
virtualbox 7.1.6-1
visual-studio-code-bin 1.96.4-1
vpnc 1:0.5.3.r539.r239-1
vulkan-radeon 1:24.3.4-1
waydroid 1.4.3-1
webstorm 2024.3.2.1-1
webstorm-jre 2024.3.2.1-1
wget 1.25.0-1
windscribe 2.12.7-1
wireless-regdb 2024.10.07-1
wireless_tools 30.pre9-4
wireplumber 0.5.7-1
wmctrl 1.07-6
wmname 0.1-6
wpa_supplicant 2:2.11-2
wvdial 1.61-9
x264 3:0.164.r3108.31e19f9-2
x265 4.0-1
xarchiver 0.5.4.23-1
xclip 0.13-6
xcolor 0.5.1-4
xdg-desktop-portal-gtk 1.15.2-1
xdg-desktop-portal-hyprland 1.3.9-4
xdg-desktop-portal-kde 6.2.5-1
xdg-user-dirs 0.18-2
xdg-user-dirs-gtk 0.14-1
xdotool 3.20211022.1-2
xf86-input-libinput 1.5.0-1
xf86-video-amdgpu 23.0.0-2
xf86-video-ati 1:22.0.0-2
xf86-video-fbdev 0.5.1-1
xf86-video-vesa 2.6.0-2
xfce-polkit 0.3-1
xfce4-appfinder 4.20.0-2
xfce4-power-manager 4.20.0-3
xfce4-settings 4.20.0-3
xfce4-terminal 1.1.4-1
xfsprogs 6.12.0-1
xl2tpd 1.3.18-2
xmlstarlet 1.6.1-4
xorg-bdftopcf 1.1.2-1
xorg-docs 1.7.3-2
xorg-font-util 1.4.1-2
xorg-fonts-100dpi 1.0.4-3
xorg-fonts-75dpi 1.0.4-2
xorg-fonts-encodings 1.1.0-1
xorg-iceauth 1.0.10-1
xorg-mkfontscale 1.2.3-1
xorg-server 21.1.15-1
xorg-server-common 21.1.15-1
xorg-server-devel 21.1.15-1
xorg-server-xephyr 21.1.15-1
xorg-server-xnest 21.1.15-1
xorg-server-xvfb 21.1.15-1
xorg-sessreg 1.1.3-2
xorg-setxkbmap 1.3.4-2
xorg-smproxy 1.0.7-2
xorg-x11perf 1.7.0-1
xorg-xauth 1.1.3-1
xorg-xbacklight 1.2.4-1
xorg-xcmsdb 1.0.7-1
xorg-xcursorgen 1.0.8-2
xorg-xdpyinfo 1.3.4-2
xorg-xdriinfo 1.0.7-2
xorg-xev 1.2.6-1
xorg-xgamma 1.0.7-2
xorg-xhost 1.0.9-2
xorg-xinput 1.6.4-2
xorg-xkbcomp 1.4.7-1
xorg-xkbevd 1.1.6-1
xorg-xkbutils 1.0.6-1
xorg-xkill 1.0.6-2
xorg-xlsatoms 1.1.4-2
xorg-xlsclients 1.1.5-2
xorg-xmodmap 1.0.11-2
xorg-xpr 1.2.0-1
xorg-xprop 1.2.8-1
xorg-xrandr 1.5.3-1
xorg-xrdb 1.2.2-2
xorg-xrefresh 1.1.0-1
xorg-xset 1.2.5-2
xorg-xsetroot 1.1.3-2
xorg-xvinfo 1.1.5-2
xorg-xwayland 24.1.4-1
xorg-xwd 1.0.9-2
xorg-xwininfo 1.1.6-2
xorg-xwud 1.0.7-1
xsettingsd 1.0.2-2
xvidcore 1.3.7-3
xz 5.6.4-1
yad 14.1-2
yapf 0.40.2-3
yarn 1.22.22-2
yay 12.4.2-1
yazi 0.4.2-2
zen-browser-bin 1.7.2b-1
zip 3.0-11
zoxide 0.9.6-1
zsh 5.9-5
zstd 1.5.6-1
